"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
132.0,28,0.0958904109589041,"Dredger",94,0.3219178082191781
129.0,26,0.08904109589041095,"GeneralCargo",56,0.1917808219178082
0.0,20,0.0684931506849315,"Tanker",27,0.09246575342465753
128.0,19,0.06506849315068493,"PortPoliceLawEnforce",25,0.08561643835616438
131.0,18,0.06164383561643835,"AntiPollution",24,0.0821917808219178
80.0,12,0.0410958904109589,"Tug",23,0.07876712328767123
32.0,12,0.0410958904109589,"Other",18,0.06164383561643835
30.0,10,0.03424657534246575,"HighSpeedCraft",8,0.0273972602739726
148.0,9,0.030821917808219176,"NavalMilitaryShip",7,0.023972602739726026
24.0,6,0.02054794520547945,"Fishing",5,0.017123287671232876
27.0,6,0.02054794520547945,"Passenger",3,0.010273972602739725
184.0,5,0.017123287671232876,"PilotShip",2,0.00684931506849315
89.0,5,0.017123287671232876,,,
107.0,5,0.017123287671232876,,,
399.0,5,0.017123287671232876,,,
168.0,5,0.017123287671232876,,,
28.0,4,0.0136986301369863,,,
31.0,4,0.0136986301369863,,,
34.0,4,0.0136986301369863,,,
68.0,4,0.0136986301369863,,,
66.0,4,0.0136986301369863,,,
50.0,3,0.010273972602739725,,,
19.0,3,0.010273972602739725,,,
54.0,3,0.010273972602739725,,,
134.0,3,0.010273972602739725,,,
396.0,3,0.010273972602739725,,,
159.0,3,0.010273972602739725,,,
130.0,2,0.00684931506849315,,,
55.0,2,0.00684931506849315,,,
58.0,2,0.00684931506849315,,,
63.0,2,0.00684931506849315,,,
70.0,2,0.00684931506849315,,,
135.0,2,0.00684931506849315,,,
40.0,2,0.00684931506849315,,,
75.0,2,0.00684931506849315,,,
126.0,2,0.00684931506849315,,,
187.0,2,0.00684931506849315,,,
22.0,2,0.00684931506849315,,,
29.0,2,0.00684931506849315,,,
95.0,2,0.00684931506849315,,,
158.0,2,0.00684931506849315,,,
141.0,2,0.00684931506849315,,,
79.0,2,0.00684931506849315,,,
400.0,2,0.00684931506849315,,,
337.0,2,0.00684931506849315,,,
105.0,2,0.00684931506849315,,,
250.0,2,0.00684931506849315,,,
-0.1,2,0.00684931506849315,,,
229.0,1,0.003424657534246575,,,
57.0,1,0.003424657534246575,,,
47.0,1,0.003424657534246575,,,
46.0,1,0.003424657534246575,,,
45.0,1,0.003424657534246575,,,
143.0,1,0.003424657534246575,,,
90.0,1,0.003424657534246575,,,
93.0,1,0.003424657534246575,,,
127.0,1,0.003424657534246575,,,
249.0,1,0.003424657534246575,,,
115.0,1,0.003424657534246575,,,
287.0,1,0.003424657534246575,,,
25.0,1,0.003424657534246575,,,
133.0,1,0.003424657534246575,,,
161.0,1,0.003424657534246575,,,
254.0,1,0.003424657534246575,,,
299.0,1,0.003424657534246575,,,
210.0,1,0.003424657534246575,,,
108.0,1,0.003424657534246575,,,
216.0,1,0.003424657534246575,,,
167.0,1,0.003424657534246575,,,
