"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
24.0,126,0.3103448275862069,"HighSpeedCraft",146,0.35960591133004927
29.0,110,0.270935960591133,"Other",128,0.31527093596059114
23.0,45,0.11083743842364532,"Fishing",67,0.16502463054187191
45.0,25,0.06157635467980296,"Dredger",25,0.06157635467980296
52.0,20,0.04926108374384237,"PortPoliceLawEnforce",12,0.029556650246305417
43.0,12,0.029556650246305417,"RescueSalvageShip",11,0.027093596059113302
20.0,11,0.027093596059113302,"Tug",8,0.019704433497536946
22.0,8,0.019704433497536946,"PilotShip",8,0.019704433497536946
16.0,7,0.017241379310344827,"Passenger",1,0.0024630541871921183
34.0,6,0.014778325123152709,,,
32.0,6,0.014778325123152709,,,
7.0,6,0.014778325123152709,,,
46.0,5,0.012315270935960592,,,
30.0,5,0.012315270935960592,,,
15.0,5,0.012315270935960592,,,
38.0,3,0.007389162561576354,,,
18.0,2,0.0049261083743842365,,,
0.0,2,0.0049261083743842365,,,
44.0,1,0.0024630541871921183,,,
-1.0,1,0.0024630541871921183,,,
