"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
399.0,150,0.24193548387096775,"GeneralCargo",526,0.8483870967741935
400.0,118,0.19032258064516128,"Tug",51,0.08225806451612903
148.0,116,0.1870967741935484,"PilotShip",16,0.025806451612903226
397.0,31,0.05,"Other",16,0.025806451612903226
168.0,28,0.04516129032258064,"Tanker",8,0.012903225806451613
28.0,23,0.037096774193548385,"PortPoliceLawEnforce",2,0.0032258064516129032
135.0,17,0.027419354838709678,"Fishing",1,0.0016129032258064516
262.0,16,0.025806451612903226,,,
184.0,15,0.024193548387096774,,,
134.0,15,0.024193548387096774,,,
20.0,14,0.02258064516129032,,,
398.0,11,0.017741935483870968,,,
31.0,9,0.014516129032258065,,,
68.0,8,0.012903225806451613,,,
30.0,7,0.01129032258064516,,,
32.0,7,0.01129032258064516,,,
178.0,6,0.00967741935483871,,,
433.0,5,0.008064516129032258,,,
34.0,4,0.0064516129032258064,,,
141.0,4,0.0064516129032258064,,,
16.0,3,0.004838709677419355,,,
15.0,3,0.004838709677419355,,,
33.0,3,0.004838709677419355,,,
18.0,2,0.0032258064516129032,,,
161.0,2,0.0032258064516129032,,,
272.0,1,0.0016129032258064516,,,
158.0,1,0.0016129032258064516,,,
167.0,1,0.0016129032258064516,,,
