"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
264.0,26,0.18439716312056736,"Tug",64,0.45390070921985815
32.0,24,0.1702127659574468,"Tanker",45,0.3191489361702128
30.0,19,0.1347517730496454,"Other",27,0.19148936170212766
28.0,16,0.11347517730496454,"PortPoliceLawEnforce",2,0.014184397163120567
15.0,15,0.10638297872340426,"PilotShip",2,0.014184397163120567
70.0,12,0.0851063829787234,"Fishing",1,0.0070921985815602835
31.0,5,0.03546099290780142,,,
37.0,3,0.02127659574468085,,,
39.0,3,0.02127659574468085,,,
59.0,3,0.02127659574468085,,,
20.0,2,0.014184397163120567,,,
433.0,2,0.014184397163120567,,,
33.0,2,0.014184397163120567,,,
249.0,2,0.014184397163120567,,,
58.0,1,0.0070921985815602835,,,
35.0,1,0.0070921985815602835,,,
16.0,1,0.0070921985815602835,,,
68.0,1,0.0070921985815602835,,,
50.0,1,0.0070921985815602835,,,
272.0,1,0.0070921985815602835,,,
252.0,1,0.0070921985815602835,,,
