"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
20.0,98,0.2578947368421053,"PilotShip",106,0.2789473684210526
50.0,67,0.1763157894736842,"Other",93,0.24473684210526317
16.0,39,0.10263157894736842,"Dredger",67,0.1763157894736842
15.0,35,0.09210526315789473,"PortPoliceLawEnforce",59,0.15526315789473685
34.0,33,0.0868421052631579,"Tug",51,0.13421052631578947
32.0,25,0.06578947368421052,"Passenger",4,0.010526315789473684
44.0,20,0.05263157894736842,,,
37.0,15,0.039473684210526314,,,
39.0,15,0.039473684210526314,,,
30.0,9,0.02368421052631579,,,
18.0,8,0.021052631578947368,,,
24.0,7,0.018421052631578946,,,
23.0,4,0.010526315789473684,,,
28.0,3,0.007894736842105263,,,
19.0,2,0.005263157894736842,,,
