"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
59.0,135,0.27494908350305497,"Other",244,0.4969450101832994
254.0,116,0.23625254582484725,"GeneralCargo",158,0.32179226069246436
22.0,89,0.18126272912423624,"Dredger",50,0.10183299389002037
50.0,50,0.10183299389002037,"Tug",22,0.04480651731160896
229.0,21,0.04276985743380855,"Tanker",9,0.018329938900203666
292.0,21,0.04276985743380855,"PilotShip",4,0.008146639511201629
15.0,17,0.034623217922606926,"PortPoliceLawEnforce",2,0.004073319755600814
68.0,9,0.018329938900203666,"Fishing",2,0.004073319755600814
32.0,6,0.012219959266802444,,,
30.0,6,0.012219959266802444,,,
31.0,5,0.010183299389002037,,,
28.0,4,0.008146639511201629,,,
20.0,4,0.008146639511201629,,,
33.0,3,0.006109979633401222,,,
16.0,2,0.004073319755600814,,,
272.0,2,0.004073319755600814,,,
39.0,1,0.002036659877800407,,,
