"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
32.0,123,0.17621776504297995,"Dredger",228,0.32664756446991405
129.0,106,0.1518624641833811,"Tug",218,0.3123209169054441
128.0,69,0.0988538681948424,"Other",95,0.1361031518624642
30.0,61,0.08739255014326648,"PortPoliceLawEnforce",44,0.06303724928366762
59.0,30,0.04297994269340974,"AntiPollution",38,0.054441260744985676
0.0,22,0.03151862464183381,"HighSpeedCraft",21,0.03008595988538682
50.0,20,0.02865329512893983,"NavalMilitaryShip",16,0.022922636103151862
31.0,18,0.025787965616045846,"Tanker",15,0.02148997134670487
52.0,18,0.025787965616045846,"GeneralCargo",15,0.02148997134670487
80.0,17,0.024355300859598854,"Passenger",5,0.0071633237822349575
433.0,16,0.022922636103151862,"PilotShip",2,0.0028653295128939827
34.0,14,0.02005730659025788,"RescueSalvageShip",1,0.0014326647564469914
23.0,14,0.02005730659025788,,,
28.0,13,0.01862464183381089,,,
16.0,13,0.01862464183381089,,,
44.0,13,0.01862464183381089,,,
27.0,13,0.01862464183381089,,,
132.0,9,0.012893982808022923,,,
39.0,9,0.012893982808022923,,,
24.0,8,0.011461318051575931,,,
22.0,8,0.011461318051575931,,,
89.0,7,0.01002865329512894,,,
131.0,6,0.008595988538681949,,,
35.0,5,0.0071633237822349575,,,
148.0,5,0.0071633237822349575,,,
54.0,5,0.0071633237822349575,,,
47.0,4,0.0057306590257879654,,,
130.0,4,0.0057306590257879654,,,
58.0,4,0.0057306590257879654,,,
57.0,3,0.004297994269340974,,,
37.0,3,0.004297994269340974,,,
68.0,3,0.004297994269340974,,,
66.0,3,0.004297994269340974,,,
75.0,3,0.004297994269340974,,,
79.0,3,0.004297994269340974,,,
20.0,2,0.0028653295128939827,,,
84.0,2,0.0028653295128939827,,,
55.0,2,0.0028653295128939827,,,
45.0,2,0.0028653295128939827,,,
19.0,2,0.0028653295128939827,,,
143.0,2,0.0028653295128939827,,,
107.0,2,0.0028653295128939827,,,
40.0,2,0.0028653295128939827,,,
90.0,2,0.0028653295128939827,,,
93.0,2,0.0028653295128939827,,,
95.0,2,0.0028653295128939827,,,
139.0,1,0.0014326647564469914,,,
26.0,1,0.0014326647564469914,,,
25.0,1,0.0014326647564469914,,,
70.0,1,0.0014326647564469914,,,
