"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
107.0,41,0.41414141414141414,"Tanker",69,0.696969696969697
32.0,17,0.1717171717171717,"Tug",26,0.26262626262626265
126.0,7,0.0707070707070707,"Other",4,0.04040404040404041
28.0,6,0.06060606060606061,,,
127.0,6,0.06060606060606061,,,
102.0,5,0.050505050505050504,,,
105.0,5,0.050505050505050504,,,
108.0,5,0.050505050505050504,,,
37.0,2,0.020202020202020204,,,
39.0,2,0.020202020202020204,,,
30.0,2,0.020202020202020204,,,
31.0,1,0.010101010101010102,,,
