"length","Count (length)","Relative Frequency (length)","shiptype","Count (shiptype)","Relative Frequency (shiptype)"
244.0,252,0.7777777777777778,"Tanker",254,0.7839506172839507
23.0,14,0.043209876543209874,"Tug",53,0.16358024691358025
32.0,12,0.037037037037037035,"Other",14,0.043209876543209874
31.0,10,0.030864197530864196,"PilotShip",3,0.009259259259259259
15.0,10,0.030864197530864196,,,
30.0,9,0.027777777777777776,,,
28.0,8,0.024691358024691357,,,
20.0,3,0.009259259259259259,,,
16.0,2,0.006172839506172839,,,
39.0,2,0.006172839506172839,,,
228.0,2,0.006172839506172839,,,
